dataset,classifier,metric,author,fold,value
bank,svm,acc,rafael-leonardo,v2,0.6794029916327393
bank,svm,f1,rafael-leonardo,v2,0.7126861204698105
bank,naive_bayes,acc,rafael-leonardo,v2,0.7105181716054558
bank,naive_bayes,f1,rafael-leonardo,v2,0.6926691902507089
bank,knn,acc,rafael-leonardo,v2,0.6004925780885502
bank,knn,f1,rafael-leonardo,v2,0.7601722266668252
bank,decision_tree,acc,rafael-leonardo,v2,0.7264973933594878
bank,decision_tree,f1,rafael-leonardo,v2,0.7998006614846072
Rice,perceptron,acc,rafael-scarpelli,v2,0.7333333333333333
Rice,perceptron,f1,rafael-scarpelli,v2,0.6825396825396827
Rice,svm,acc,rafael-scarpelli,v2,1.0
Rice,svm,f1,rafael-scarpelli,v2,1.0
Rice,naive_bayes,acc,rafael-scarpelli,v2,0.9666666666666668
Rice,naive_bayes,f1,rafael-scarpelli,v2,0.9665831244778612
Rice,knn,acc,rafael-scarpelli,v2,0.9666666666666668
Rice,knn,f1,rafael-scarpelli,v2,0.9665831244778612
Rice,decision_tree,acc,rafael-scarpelli,v2,1.0
Rice,decision_tree,f1,rafael-scarpelli,v2,1.0
Mushroom,perceptron,acc,renato-augusto-v2,v2,0.9419326241134752
Mushroom,svm,f1,renato-augusto-v2,v2,0.9725177304964538
Mushroom,svm,acc,renato-augusto-v2,v2,0.9725177304964538
Mushroom,naive_bayes,f1,renato-augusto-v2,v2,0.6693262411347518
Mushroom,naive_bayes,acc,renato-augusto-v2,v2,0.6693262411347518
Mushroom,decision_tree,f1,renato-augusto-v2,v2,1.0
Mushroom,decision_tree,acc,renato-augusto-v2,v2,1.0
Mushroom,knn,f1,renato-augusto-v2,v2,1.0
Mushroom,knn,acc,renato-augusto-v2,v2,1.0
car.csv,perceptron,f1,romulo-jordao,v2,0.8016012841594237
car.csv,perceptron,acc,romulo-jordao,v2,0.8901734104046243
car.csv,svm,f1,romulo-jordao,v2,0.9120086018544372
car.csv,svm,acc,romulo-jordao,v2,0.976878612716763
car.csv,naive_bayes,f1,romulo-jordao,v2,0.7214130661954704
car.csv,naive_bayes,acc,romulo-jordao,v2,0.7890173410404624
car.csv,knn,f1,romulo-jordao,v2,0.5223558392228487
car.csv,knn,acc,romulo-jordao,v2,0.846820809248555
car.csv,decision_tree,f1,romulo-jordao,v2,0.9243974938760128
car.csv,decision_tree,acc,romulo-jordao,v2,0.9682080924855492
